variable;unit;piam_variable;piam_unit;piam_factor;description;source;;;;;;;
Nutrients|Nitrogen|Cropland Budget|Inputs|Other;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Seed;Mt Nr/yr;;;M;;;;;;;
Nutrients|Nitrogen|Cropland Budget|Inputs|Recycled Aboveground Crop Residues;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Aboveground Crop Residues;Mt Nr/yr;;;M;;;;;;;
Nutrients|Nitrogen|Cropland Budget|Withdrawals;Tg N/yr;Resources|Nitrogen|Cropland Budget|Withdrawals;Mt Nr/yr;;;M;;;;;;;
Nutrients|Nitrogen|Pasture Budget|Inputs;Tg N/yr;Resources|Nitrogen|Pasture Budget|Inputs;Mt Nr/yr;;;Mx;;;;;;;
Nutrients|Nitrogen|Pasture Budget|Inputs|Atmospheric Deposition;Tg N/yr;Resources|Nitrogen|Pasture Budget|Inputs|+|Atmospheric Deposition;Mt Nr/yr;;;Mx;;;;;;;
Nutrients|Nitrogen|Pasture Budget|Inputs|Biological Fixation;Tg N/yr;Resources|Nitrogen|Pasture Budget|Inputs|+|Biological Fixation Freeliving Microorganisms;Mt Nr/yr;;;Mx;;;;;;;
Nutrients|Nitrogen|Pasture Budget|Inputs|Fertilizer;Tg N/yr;Resources|Nitrogen|Pasture Budget|Inputs|+|Fertilizer;Mt Nr/yr;;;Mx;;;;;;;
Nutrients|Nitrogen|Pasture Budget|Inputs|Manure;Tg N/yr;Resources|Nitrogen|Pasture Budget|Inputs|+|Manure From Grazing;Mt Nr/yr;;;Mx;;;;;;;
Nutrients|Nitrogen|Pasture Budget|Inputs|Other;Tg N/yr;;;;;;;;;;;;
Nutrients|Nitrogen|Pasture Budget|Withdrawals;Tg N/yr;Resources|Nitrogen|Pasture Budget|Withdrawals;Mt Nr/yr;;;Mx;;;;;;;
Fertilizer Use|Nitrogen|Organic;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Aboveground Crop Residues;Mt Nr/yr;;Total nitrogen inputs in organic fertilizer use;M;;;;;;;
Forcing;W/m2;Forcing;W/m2;;radiative forcing from all greenhouse gases and forcing agents;;;;;;;;
Forcing|Tropospheric Ozone;W/m2;Forcing|Tropospheric Ozone;W/m2;;total radiative forcing from tropospheric ozone;C;;;;;;;
Temperature|Global Mean;°C;MAGICC7 AR6|Surface Temperature (GSAT)|50.0th Percentile;K;;change in global mean surface temperature relative to pre-industrial;;;;;;;;
Policy Cost|Area under MAC Curve;billion US$2010/yr;;;;total costs of the policy;;;;;;;;
Emissions|CH4|AFOLU;Mt CH4/yr;Emi|CH4|+|Land-Use Change;Mt CH4/yr;;CH4 emissions from agriculture;;;;;;;;
Emissions|N2O|AFOLU;kt N2O/yr;Emi|N2O|+|Land-Use Change;kt N2O/yr;;N2O emissions from agriculture;;;;;;;;
Energy Service|Transportation|Freight;billion tkm/yr;ES|Transport|Freight|w/o bunkers;billion tkm/yr;;annual demand for energy services related to freight transportation;R;;;;;;;
Energy Service|Transportation|Passenger;billion pkm/yr;ES|Transport|Pass;billion pkm/yr;;annual demand for energy services related to passenger transportation;R;;;;;;;
Final Energy|Industry;EJ/yr;FE|++|Industry;EJ/yr;;final energy consumed by the industrial sector;;;;;;;;
Material recycling|Chemicals;Mt/year;;;;Mass of Chemicals recycled per year;;;;;;;;
Material recycling|Plastics;Mt/year;;;;Mass of Plastics recycled per year;;;;;;;;
Material recycling|Steel;Mt/year;;;;Mass of Steel recycled per year;;;;;;;;
Land Cover|Other Land;million ha;Resources|Land Cover|+|Other Land;million ha;;other land cover that does not fit into any other category (e.g.;;;;;;;;
Population|Clean cooking Access;million;;;;population with access to clean cooking (e.g. non-solid fuels);;;;;;;;
Population|Informal settlements;million;;;;population living in informal settlements (e.g. slums);;;;;;;;
Population|substandard accommodation;million;;;;population living in substandard accommodation (e.g. accommodation that does not meet legal requirements and/or enable well being for the occupants;;;;;;;;
Freshwater|Environmental Flow;km3/yr;;;;water allocated to environmental flow in rivers and groundwater systems;;;;;;;;
Water Withdrawal;km3/yr;;;;total water withdrawal;;;;;;;;
Water Withdrawal|Industrial Water;km3/yr;;;;water withdrawals for the industrial sector (manufacturing sector if also reporting energy sector water use);;;;;;;;
Water Withdrawal|Irrigation;km3/yr;;km3/yr;;water withdrawal for irrigation;M;;;;;;;
Water Withdrawal|Livestock;km3/yr;;;;water withdrawals for livestock;;;;;;;;
Water Withdrawal|Municipal Water;km3/yr;;;;water withdrawals for the municial sector (e.g.;;;;;;;;
Population|Poverty|LMIC poverty line;million;Population|Poverty|LMIC poverty line;million;;population living in poverty with income <US$3.20 2011 PPP per day (World Bank LMIC definition);S;;;;;;;
Population|Poverty|UMIC poverty line;million;Population|Poverty|UMIC poverty line;million;;population living in poverty with income <US$5.50 2011 PPP per day (World Bank LMIC definition);S;;;;;;;
Population|Gender education gap|Primary;percentage points;;;;difference between genders in primary education completion rate (age 15+);;;;;;;;
Population|Gender education gap|Secondary;percentage points;;;;difference between genders in secondary education completion rate (age 20+);;;;;;;;
Political institutions|Equality before law and individual liberty;-;Political institutions|Equality before law and individual liberty;-;;aggregated ‘Equality Before the Law and Individual Liberty' index (0-1) as defined by V-DEM;S;;;;;;;
