variable;unit;piam_variable;piam_unit;piam_factor;description;source;;;;;;;
Consumption|Food|D3 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages;;;;;;;;
Consumption|Food|D4 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages;;;;;;;;
Consumption|Food|D5 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages;;;;;;;;
Consumption|Food|D6 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages;;;;;;;;
Consumption|Food|D7 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages;;;;;;;;
Consumption|Food|D8 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages;;;;;;;;
Consumption|Food|D9 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages;;;;;;;;
Consumption|Housing|Energy|D1 [Share];%;;;;Share of total consumption of electricity;;;;;;;;
Consumption|Housing|Energy|D10 [Share];%;;;;Share of total consumption of electricity;;;;;;;;
Consumption|Housing|Energy|D2 [Share];%;;;;Share of total consumption of electricity;;;;;;;;
Consumption|Housing|Energy|D3 [Share];%;;;;Share of total consumption of electricity;;;;;;;;
Consumption|Housing|Energy|D4 [Share];%;;;;Share of total consumption of electricity;;;;;;;;
Consumption|Housing|Energy|D5 [Share];%;;;;Share of total consumption of electricity;;;;;;;;
Consumption|Housing|Energy|D6 [Share];%;;;;Share of total consumption of electricity;;;;;;;;
Consumption|Housing|Energy|D7 [Share];%;;;;Share of total consumption of electricity;;;;;;;;
Consumption|Housing|Energy|D8 [Share];%;;;;Share of total consumption of electricity;;;;;;;;
Consumption|Housing|Energy|D9 [Share];%;;;;Share of total consumption of electricity;;;;;;;;
Consumption|Transport|Energy|D1 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4);;;;;;;;
Consumption|Transport|Energy|D10 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4);;;;;;;;
Consumption|Transport|Energy|D2 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4);;;;;;;;
Consumption|Transport|Energy|D3 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4);;;;;;;;
Consumption|Transport|Energy|D4 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4);;;;;;;;
Consumption|Transport|Energy|D5 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4);;;;;;;;
Consumption|Transport|Energy|D6 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4);;;;;;;;
Consumption|Transport|Energy|D7 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4);;;;;;;;
Consumption|Transport|Energy|D8 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4);;;;;;;;
Consumption|Transport|Energy|D9 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4);;;;;;;;
Emissions|CH4;Mt CH4/yr;Emi|CH4;Mt CH4/yr;;Emissions of methane (CH4) to the atmosphere;R;;;;;;;
Emissions|CH4|AFOLU;Mt CH4/yr;Emi|CH4|+|Agriculture;Mt CH4/yr;;Emissions of methane (CH4) from agriculture;;;;;;;;
Emissions|CH4|Energy and Industrial Processes;Mt CH4/yr;Emi|CH4|+|Energy Supply;Mt CH4/yr;;Emissions of methane (CH4) from energy use in supply and demand sectors (IPCC category 1A;; including emissions from international bunker fuels. This is the sum of sources and sinks; and includes negative emisisons in these sectors; for instance from bioenergy with CCS (BECCS);R;;;
Emissions|CH4|Energy and Industrial Processes;Mt CH4/yr;Emi|CH4|+|Extraction;Mt CH4/yr;;Emissions of methane (CH4) from energy use in supply and demand sectors (IPCC category 1A;; including emissions from international bunker fuels. This is the sum of sources and sinks; and includes negative emisisons in these sectors; for instance from bioenergy with CCS (BECCS);R;;;
Emissions|CH4|Energy and Industrial Processes;Mt CH4/yr;Emi|CH4|Extra|Transport|Bunkers|Freight;Mt CH4/yr;;Emissions of methane (CH4) from energy use in supply and demand sectors (IPCC category 1A;; including emissions from international bunker fuels. This is the sum of sources and sinks; and includes negative emisisons in these sectors; for instance from bioenergy with CCS (BECCS);R;;;
Emissions|CH4|Energy and Industrial Processes;Mt CH4/yr;Emi|CH4|Extra|Buildings|Solids;Mt CH4/yr;;Emissions of methane (CH4) from energy use in supply and demand sectors (IPCC category 1A;; including emissions from international bunker fuels. This is the sum of sources and sinks; and includes negative emisisons in these sectors; for instance from bioenergy with CCS (BECCS);R;;;
Emissions|CO2;Mt CO2/yr;Emi|CO2|w/ Bunkers;Mt CO2/yr;;Emissions of carbon dioxide (CO2) to the atmosphere;R;;;;;;;
Emissions|CO2;Mt CO2/yr;Emissions|CO2|Land|Biomass Burning|+|Burning of Crop Residues;Mt CO2/yr;;Emissions of carbon dioxide (CO2) to the atmosphere;M;;;;;;;
Emissions|CO2|AFOLU;Mt CO2/yr;Emi|CO2|+|Land-Use Change;Mt CO2/yr;;Emissions of carbon dioxide (CO2) from agriculture;;;;;;;;
Emissions|CO2|AFOLU;Mt CO2/yr;Emissions|CO2|Land|Biomass Burning|+|Burning of Crop Residues;Mt CO2/yr;;Emissions of carbon dioxide (CO2) from agriculture;;;;;;;;
Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;Emi|CO2|w/ Bunkers|Energy and Industrial Processes;Mt CO2/yr;1;Emissions of carbon dioxide (CO2) from energy use in supply and demand sectors (IPCC category 1A;; including emissions from international bunker fuels. This is the sum of sources and sinks; and includes negative emisisons in these sectors; for instance from bioenergy with CCS (BECCS);R;;;
Emissions|CO2|Energy and Industrial Processes;Mt CO2/yr;Emi|CO2|Industrial Processes|+|CDR Sector;Mt CO2/yr;-1;Emissions of carbon dioxide (CO2) from energy use in supply and demand sectors (IPCC category 1A;; including emissions from international bunker fuels. This is the sum of sources and sinks; and includes negative emisisons in these sectors; for instance from bioenergy with CCS (BECCS);R;;;
